Date,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
1961-01-01,-0.177,-0.365,-0.078,-0.287,-0.165,0.588,-0.679,-0.3879747094310969,-0.501,-0.408
1961-02-01,0.202,0.295,0.112,0.864,0.125,0.117,0.195,-0.0050774322332763,0.535,-0.179
1961-03-01,0.269,0.221,0.152,0.288,0.163,-0.079,0.266,0.0450953144340242,0.12,0.303
1961-04-01,0.001,-0.06,0.08,0.112,-0.052,0.061,0.217,-0.2387768048678082,-0.076,0.08
1961-05-01,0.305,-0.341,-0.009,-0.067,0.1,-0.197,-0.158,-0.0380858181986057,-0.478,-0.195
1961-06-01,-0.166,-0.301,-0.411,-0.523,-0.245,-0.075,-0.259,-0.4936015445201509,-0.6,-0.318
1961-07-01,0.064,-0.057,-0.231,0.103,-0.04,-0.243,-0.342,-0.2229327796044501,-0.295,0.163
1961-08-01,-0.154,-0.102,-0.338,-0.027,-0.162,-0.229,-0.169,-0.3840137031152574,-0.231,-0.003
1961-09-01,-0.157,0.167,-0.284,-0.149,-0.313,-0.437,-0.039,-0.5833843543458468,-0.387,0.268
1961-10-01,-0.317,-0.445,-0.035,0.252,-0.386,-0.041,-0.267,-0.6797688413646086,-0.217,0.195
1961-11-01,0.214,0.435,0.13,0.579,0.018,-0.369,0.079,-0.146353324164886,0.397,0.574
1961-12-01,0.033,0.591,0.247,0.743,-0.011,-0.411,0.313,-0.1846430518846681,0.567,0.589
1962-01-01,-0.092,-0.769,-0.006,-1.627,-0.15,-0.336,-0.275,-0.3681696778518993,-0.813,-1.413
1962-02-01,-0.345,-1.206,-0.15,-1.072,-0.395,-0.311,-0.622,-0.6916518603121271,-1.256,-0.534
1962-03-01,-0.063,-0.235,-0.182,-0.988,-0.318,-0.519,-0.052,-0.5899860315389127,-0.379,-0.714
1962-04-01,-0.17,-0.161,-0.196,-0.397,-0.166,0.034,-0.127,-0.3892950448697101,0.018,-0.486
1962-05-01,0.143,0.033,0.038,0.202,0.113,0.046,0.019,-0.0209214574966344,0.213,0.308
1962-06-01,-0.053,0.029,0.083,-0.065,-0.144,-0.205,0.046,-0.3602476652202203,-0.09,-0.134
1962-07-01,0.339,-0.119,0.191,0.126,0.154,0.431,-0.174,0.0332122954865057,-0.041,-0.072
1962-08-01,-0.389,-0.126,-0.167,-0.058,-0.281,0.024,-0.192,-0.5411336203102253,-0.083,-0.257
1962-09-01,-0.004,-0.229,-0.013,0.078,-0.086,0.162,-0.345,-0.2836682097806561,-0.162,-0.176
1962-10-01,0.287,0.257,0.18,0.054,0.057,-0.024,0.317,-0.0948602420589722,-0.067,0.073
1962-11-01,-0.079,0.297,0.136,0.012,-0.039,-0.417,-0.01,-0.2216124441658369,0.197,0.032
