Country,Date,Year,Month,Original_Value,Imputed_Value,Imputation_Method,In_Final_Test_Period
Singapore,1961-01-01,1961,1,,-0.6609147665651383,regional_ridge_train_period_only,False
Singapore,1961-02-01,1961,2,,-0.3939341044204568,regional_ridge_train_period_only,False
Singapore,1961-03-01,1961,3,,-0.34392266554271317,regional_ridge_train_period_only,False
Singapore,1961-04-01,1961,4,,-0.506379901516814,regional_ridge_train_period_only,False
Singapore,1961-05-01,1961,5,,-0.3581681391758395,regional_ridge_train_period_only,False
Singapore,1961-06-01,1961,6,,-0.677377041456187,regional_ridge_train_period_only,False
Singapore,1961-07-01,1961,7,,-0.4378377967726165,regional_ridge_train_period_only,False
Singapore,1961-08-01,1961,8,,-0.5440750979891062,regional_ridge_train_period_only,False
Singapore,1961-09-01,1961,9,,-0.6806551622117119,regional_ridge_train_period_only,False
Singapore,1961-10-01,1961,10,,-0.721767082198717,regional_ridge_train_period_only,False
Singapore,1961-11-01,1961,11,,-0.3947301092643722,regional_ridge_train_period_only,False
Singapore,1961-12-01,1961,12,,-0.43152182725401206,regional_ridge_train_period_only,False
Singapore,1962-01-01,1962,1,,-0.6289021775065933,regional_ridge_train_period_only,False
Singapore,1962-02-01,1962,2,,-0.8755245558704163,regional_ridge_train_period_only,False
Singapore,1962-03-01,1962,3,,-0.8150025502648941,regional_ridge_train_period_only,False
Singapore,1962-04-01,1962,4,,-0.6427405997223221,regional_ridge_train_period_only,False
Singapore,1962-05-01,1962,5,,-0.31960158733935723,regional_ridge_train_period_only,False
Singapore,1962-06-01,1962,6,,-0.4900641931459267,regional_ridge_train_period_only,False
Singapore,1962-07-01,1962,7,,-0.18831118959992937,regional_ridge_train_period_only,False
Singapore,1962-08-01,1962,8,,-0.5980197973162056,regional_ridge_train_period_only,False
Singapore,1962-09-01,1962,9,,-0.423030793721393,regional_ridge_train_period_only,False
Singapore,1962-10-01,1962,10,,-0.30279837907120205,regional_ridge_train_period_only,False
Singapore,1962-11-01,1962,11,,-0.4203088507991483,regional_ridge_train_period_only,False
Singapore,1962-12-01,1962,12,,-0.6266576242358382,regional_ridge_train_period_only,False
Singapore,1963-01-01,1963,1,,-1.297221237072313,regional_ridge_train_period_only,False
Singapore,1963-02-01,1963,2,,-1.181238624244713,regional_ridge_train_period_only,False
Singapore,1963-03-01,1963,3,,-0.8108012221508598,regional_ridge_train_period_only,False
Singapore,1963-04-01,1963,4,,-0.48833962265100334,regional_ridge_train_period_only,False
Singapore,1963-05-01,1963,5,,-0.4574522571806488,regional_ridge_train_period_only,False
Singapore,1963-06-01,1963,6,,-0.08622987862780868,regional_ridge_train_period_only,False
Singapore,1963-07-01,1963,7,,-0.21660964522465037,regional_ridge_train_period_only,False
Singapore,1963-08-01,1963,8,,-0.42088848543190743,regional_ridge_train_period_only,False
Singapore,1963-09-01,1963,9,,-0.19446193293807718,regional_ridge_train_period_only,False
Singapore,1963-10-01,1963,10,,-0.3289365024422321,regional_ridge_train_period_only,False
Singapore,1963-11-01,1963,11,,-0.16857356831061882,regional_ridge_train_period_only,False
Singapore,1963-12-01,1963,12,,-0.32695182853326604,regional_ridge_train_period_only,False
Singapore,1964-01-01,1964,1,,0.300423337744964,regional_ridge_train_period_only,False
Singapore,1964-02-01,1964,2,,-0.08069439302602599,regional_ridge_train_period_only,False
Singapore,1964-03-01,1964,3,,-0.4833357778312219,regional_ridge_train_period_only,False
Singapore,1964-04-01,1964,4,,-0.3824801837394068,regional_ridge_train_period_only,False
Singapore,1964-05-01,1964,5,,-0.33336705436963693,regional_ridge_train_period_only,False
Singapore,1964-06-01,1964,6,,-0.5279658014506983,regional_ridge_train_period_only,False
Singapore,1964-07-01,1964,7,,-0.6317349039084765,regional_ridge_train_period_only,False
Singapore,1964-08-01,1964,8,,-0.39256171208426,regional_ridge_train_period_only,False
Singapore,1964-09-01,1964,9,,-0.3467628892112378,regional_ridge_train_period_only,False
Singapore,1964-10-01,1964,10,,-0.5334724615992035,regional_ridge_train_period_only,False
Singapore,1964-11-01,1964,11,,-0.7190561827616955,regional_ridge_train_period_only,False
Singapore,1964-12-01,1964,12,,-0.9695989097911766,regional_ridge_train_period_only,False
Singapore,1965-01-01,1965,1,,-1.2527605290326522,regional_ridge_train_period_only,False
Singapore,1965-02-01,1965,2,,-0.6378435078764242,regional_ridge_train_period_only,False
Singapore,1965-03-01,1965,3,,-0.7929076833716344,regional_ridge_train_period_only,False
Singapore,1965-04-01,1965,4,,-0.8070364400710897,regional_ridge_train_period_only,False
Singapore,1965-05-01,1965,5,,-0.6475544477637025,regional_ridge_train_period_only,False
Singapore,1965-06-01,1965,6,,-0.37269321624641955,regional_ridge_train_period_only,False
Singapore,1965-07-01,1965,7,,-0.48073648401746566,regional_ridge_train_period_only,False
Singapore,1965-08-01,1965,8,,-0.612679548960015,regional_ridge_train_period_only,False
Singapore,1965-09-01,1965,9,,-0.37736470512703363,regional_ridge_train_period_only,False
Singapore,1965-10-01,1965,10,,-0.31366487164241613,regional_ridge_train_period_only,False
Singapore,1965-11-01,1965,11,,-0.09434962822516108,regional_ridge_train_period_only,False
Singapore,1965-12-01,1965,12,,-0.20289824446089139,regional_ridge_train_period_only,False
Singapore,1966-01-01,1966,1,,-0.07887107599282722,regional_ridge_train_period_only,False
Singapore,1966-02-01,1966,2,,-0.12441977088872086,regional_ridge_train_period_only,False
Singapore,1966-03-01,1966,3,,-0.20061311740418425,regional_ridge_train_period_only,False
Singapore,1966-04-01,1966,4,,-0.15919126069511963,regional_ridge_train_period_only,False
Singapore,1966-05-01,1966,5,,-0.19682448633225097,regional_ridge_train_period_only,False
Singapore,1966-06-01,1966,6,,-0.57930106879775,regional_ridge_train_period_only,False
Singapore,1966-07-01,1966,7,,-0.40273129366309485,regional_ridge_train_period_only,False
Singapore,1966-08-01,1966,8,,-0.3181375113684661,regional_ridge_train_period_only,False
Singapore,1966-09-01,1966,9,,-0.09642769346436003,regional_ridge_train_period_only,False
Singapore,1966-10-01,1966,10,,-0.4257406346472549,regional_ridge_train_period_only,False
Singapore,1966-11-01,1966,11,,-0.27498823276796797,regional_ridge_train_period_only,False
Singapore,1966-12-01,1966,12,,-0.25145234736661,regional_ridge_train_period_only,False
Singapore,1967-01-01,1967,1,,-0.606909498639167,regional_ridge_train_period_only,False
Singapore,1967-02-01,1967,2,,-0.7229107932454601,regional_ridge_train_period_only,False
Singapore,1967-03-01,1967,3,,-0.7596665320933043,regional_ridge_train_period_only,False
Singapore,1967-04-01,1967,4,,-0.6864173401754561,regional_ridge_train_period_only,False
Singapore,1967-05-01,1967,5,,-0.5102679229212859,regional_ridge_train_period_only,False
Singapore,1967-06-01,1967,6,,-0.43729204757694057,regional_ridge_train_period_only,False
Singapore,1967-07-01,1967,7,,-0.31702284835403133,regional_ridge_train_period_only,False
Singapore,1967-08-01,1967,8,,-0.2674376169762341,regional_ridge_train_period_only,False
Singapore,1967-09-01,1967,9,,-0.46007343296732023,regional_ridge_train_period_only,False
Singapore,1967-10-01,1967,10,,-0.5306518432036298,regional_ridge_train_period_only,False
Singapore,1967-11-01,1967,11,,-0.5657417332455226,regional_ridge_train_period_only,False
Singapore,1967-12-01,1967,12,,-0.6654966146397723,regional_ridge_train_period_only,False
Singapore,1968-01-01,1968,1,,-0.7232349073882138,regional_ridge_train_period_only,False
Singapore,1968-02-01,1968,2,,-0.7758134866469495,regional_ridge_train_period_only,False
Singapore,1968-03-01,1968,3,,-0.4135228446696148,regional_ridge_train_period_only,False
Singapore,1968-04-01,1968,4,,-0.5670128419878697,regional_ridge_train_period_only,False
Singapore,1968-05-01,1968,5,,-0.5564884467140738,regional_ridge_train_period_only,False
Singapore,1968-06-01,1968,6,,-0.29059210773209504,regional_ridge_train_period_only,False
Singapore,1968-07-01,1968,7,,-0.2327305234369033,regional_ridge_train_period_only,False
Singapore,1968-08-01,1968,8,,-0.1016952405871297,regional_ridge_train_period_only,False
Singapore,1968-09-01,1968,9,,-0.14902956961362884,regional_ridge_train_period_only,False
Singapore,1968-10-01,1968,10,,-0.413844480012349,regional_ridge_train_period_only,False
Singapore,1968-11-01,1968,11,,-0.3037049786522909,regional_ridge_train_period_only,False
Singapore,1968-12-01,1968,12,,-0.2833103734241062,regional_ridge_train_period_only,False
Singapore,1969-01-01,1969,1,,0.08545277121342754,regional_ridge_train_period_only,False
Singapore,1969-02-01,1969,2,,-0.08805801605881375,regional_ridge_train_period_only,False
Singapore,1969-03-01,1969,3,,-0.009476984854112691,regional_ridge_train_period_only,False
Singapore,1969-04-01,1969,4,,0.10256267006998099,regional_ridge_train_period_only,False
Singapore,1969-05-01,1969,5,,0.1438897388023328,regional_ridge_train_period_only,False
Singapore,1969-06-01,1969,6,,-0.01871840899314775,regional_ridge_train_period_only,False
Singapore,1969-07-01,1969,7,,-0.16938656586646123,regional_ridge_train_period_only,False
Singapore,1969-08-01,1969,8,,-0.3852132595809539,regional_ridge_train_period_only,False
Singapore,1969-09-01,1969,9,,-0.016156632219850142,regional_ridge_train_period_only,False
Singapore,1969-10-01,1969,10,,-0.213659204497125,regional_ridge_train_period_only,False
Singapore,1969-11-01,1969,11,,-0.42723161843853824,regional_ridge_train_period_only,False
Singapore,1969-12-01,1969,12,,-0.398648946580148,regional_ridge_train_period_only,False
Singapore,1970-01-01,1970,1,,-0.07171809811796659,regional_ridge_train_period_only,False
Singapore,1970-02-01,1970,2,,-0.17881598279889105,regional_ridge_train_period_only,False
Singapore,1970-03-01,1970,3,,0.06955547952569041,regional_ridge_train_period_only,False
Singapore,1970-04-01,1970,4,,-0.20521119889353173,regional_ridge_train_period_only,False
Singapore,1970-05-01,1970,5,,-0.1587027225489916,regional_ridge_train_period_only,False
Singapore,1970-06-01,1970,6,,-0.09364298293923129,regional_ridge_train_period_only,False
Singapore,1970-07-01,1970,7,,-0.3153254607869061,regional_ridge_train_period_only,False
Singapore,1970-08-01,1970,8,,-0.2318902388544471,regional_ridge_train_period_only,False
Singapore,1970-09-01,1970,9,,-0.3384663181583533,regional_ridge_train_period_only,False
Singapore,1970-10-01,1970,10,,-0.20556599977637674,regional_ridge_train_period_only,False
Singapore,1970-11-01,1970,11,,-0.31015256839566335,regional_ridge_train_period_only,False
