Country,Date,Year,Month,Value_Source,Value_Modeling,WasObservedInSource,WasImputed,InFinalTrain,InFinalTest
Brunei Darussalam,1961-01-01,1961,1,-0.177,-0.177,True,False,True,False
Brunei Darussalam,1961-02-01,1961,2,0.202,0.202,True,False,True,False
Brunei Darussalam,1961-03-01,1961,3,0.269,0.269,True,False,True,False
Brunei Darussalam,1961-04-01,1961,4,0.001,0.001,True,False,True,False
Brunei Darussalam,1961-05-01,1961,5,0.305,0.305,True,False,True,False
Brunei Darussalam,1961-06-01,1961,6,-0.166,-0.166,True,False,True,False
Brunei Darussalam,1961-07-01,1961,7,0.064,0.064,True,False,True,False
Brunei Darussalam,1961-08-01,1961,8,-0.154,-0.154,True,False,True,False
Brunei Darussalam,1961-09-01,1961,9,-0.157,-0.157,True,False,True,False
Brunei Darussalam,1961-10-01,1961,10,-0.317,-0.317,True,False,True,False
Brunei Darussalam,1961-11-01,1961,11,0.214,0.214,True,False,True,False
Brunei Darussalam,1961-12-01,1961,12,0.033,0.033,True,False,True,False
Brunei Darussalam,1962-01-01,1962,1,-0.092,-0.092,True,False,True,False
Brunei Darussalam,1962-02-01,1962,2,-0.345,-0.345,True,False,True,False
Brunei Darussalam,1962-03-01,1962,3,-0.063,-0.063,True,False,True,False
Brunei Darussalam,1962-04-01,1962,4,-0.17,-0.17,True,False,True,False
Brunei Darussalam,1962-05-01,1962,5,0.143,0.143,True,False,True,False
Brunei Darussalam,1962-06-01,1962,6,-0.053,-0.053,True,False,True,False
Brunei Darussalam,1962-07-01,1962,7,0.339,0.339,True,False,True,False
Brunei Darussalam,1962-08-01,1962,8,-0.389,-0.389,True,False,True,False
Brunei Darussalam,1962-09-01,1962,9,-0.004,-0.004,True,False,True,False
Brunei Darussalam,1962-10-01,1962,10,0.287,0.287,True,False,True,False
Brunei Darussalam,1962-11-01,1962,11,-0.079,-0.079,True,False,True,False
Brunei Darussalam,1962-12-01,1962,12,-0.103,-0.103,True,False,True,False
Brunei Darussalam,1963-01-01,1963,1,-0.961,-0.961,True,False,True,False
Brunei Darussalam,1963-02-01,1963,2,-0.714,-0.714,True,False,True,False
Brunei Darussalam,1963-03-01,1963,3,-0.829,-0.829,True,False,True,False
Brunei Darussalam,1963-04-01,1963,4,-0.525,-0.525,True,False,True,False
Brunei Darussalam,1963-05-01,1963,5,-0.259,-0.259,True,False,True,False
Brunei Darussalam,1963-06-01,1963,6,0.442,0.442,True,False,True,False
Brunei Darussalam,1963-07-01,1963,7,0.235,0.235,True,False,True,False
Brunei Darussalam,1963-08-01,1963,8,0.056,0.056,True,False,True,False
Brunei Darussalam,1963-09-01,1963,9,0.361,0.361,True,False,True,False
Brunei Darussalam,1963-10-01,1963,10,0.183,0.183,True,False,True,False
Brunei Darussalam,1963-11-01,1963,11,0.352,0.352,True,False,True,False
Brunei Darussalam,1963-12-01,1963,12,-0.085,-0.085,True,False,True,False
Brunei Darussalam,1964-01-01,1964,1,0.942,0.942,True,False,True,False
Brunei Darussalam,1964-02-01,1964,2,0.565,0.565,True,False,True,False
Brunei Darussalam,1964-03-01,1964,3,-0.016,-0.016,True,False,True,False
Brunei Darussalam,1964-04-01,1964,4,0.04,0.04,True,False,True,False
Brunei Darussalam,1964-05-01,1964,5,0.146,0.146,True,False,True,False
Brunei Darussalam,1964-06-01,1964,6,-0.056,-0.056,True,False,True,False
Brunei Darussalam,1964-07-01,1964,7,-0.207,-0.207,True,False,True,False
Brunei Darussalam,1964-08-01,1964,8,0.072,0.072,True,False,True,False
Brunei Darussalam,1964-09-01,1964,9,0.084,0.084,True,False,True,False
Brunei Darussalam,1964-10-01,1964,10,-0.051,-0.051,True,False,True,False
Brunei Darussalam,1964-11-01,1964,11,-0.437,-0.437,True,False,True,False
