Country,Date,Year,Month,Original_Value,Imputed_Value,Imputation_Method,In_Final_Test_Period
Singapore,1961-01-01,1961,1,,-0.38797470943109696,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-02-01,1961,2,,-0.005077432233276363,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-03-01,1961,3,,0.045095314434024286,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-04-01,1961,4,,-0.23877680486780822,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-05-01,1961,5,,-0.03808581819860571,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-06-01,1961,6,,-0.4936015445201509,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-07-01,1961,7,,-0.22293277960445015,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-08-01,1961,8,,-0.38401370311525745,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-09-01,1961,9,,-0.5833843543458468,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-10-01,1961,10,,-0.6797688413646086,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-11-01,1961,11,,-0.14635332416488603,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1961-12-01,1961,12,,-0.1846430518846681,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-01-01,1962,1,,-0.36816967785189936,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-02-01,1962,2,,-0.6916518603121271,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-03-01,1962,3,,-0.5899860315389127,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-04-01,1962,4,,-0.3892950448697101,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-05-01,1962,5,,-0.02092145749663446,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-06-01,1962,6,,-0.3602476652202203,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-07-01,1962,7,,0.0332122954865057,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-08-01,1962,8,,-0.5411336203102253,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-09-01,1962,9,,-0.28366820978065616,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-10-01,1962,10,,-0.09486024205897223,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-11-01,1962,11,,-0.22161244416583697,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1962-12-01,1962,12,,-0.4157017536419736,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-01-01,1963,1,,-1.302967168390027,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-02-01,1963,2,,-1.115479536106956,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-03-01,1963,3,,-0.6375181073289868,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-04-01,1963,4,,-0.27970720346481664,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-05-01,1963,5,,-0.2546208301311663,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-06-01,1963,6,,0.2563489846121322,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-07-01,1963,7,,0.03585296636373206,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-08-01,1963,8,,-0.274425861710364,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-09-01,1963,9,,0.08866638390825904,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-10-01,1963,10,,-0.10542292556787762,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-11-01,1963,11,,0.13751879513694648,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1963-12-01,1963,12,,-0.03940615363721889,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1964-01-01,1964,1,,0.9059540204098139,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1964-02-01,1964,2,,0.391023199350676,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
Singapore,1964-03-01,1964,3,,-0.1846430518846681,slr_malaysia (y = -0.1701 + 1.3203 * Malaysia),False
