Country,Model,Selected_Params,Selection_Metric,Validation_n_eval,Validation_MAE,Validation_RMSE,Validation_MAPE,Validation_sMAPE,Validation_MASE
Brunei Darussalam,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.261605810963305,0.3303426739254748,96.02537524026535,54.060710460044334,0.6464633874811192
Brunei Darussalam,SARIMA,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12]}",MAE,120,0.2591091134930787,0.32686142048161765,95.92891665956536,54.051230073628595,0.640354734527002
Brunei Darussalam,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""rolling_windows"": [3, 6, 12], ""subsample"": 0.9}",MAE,120,0.2705178021709124,0.341030908276558,108.67864163627377,54.26177763438768,0.6683986461132039
Brunei Darussalam,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 10.0, ""yearly_seasonality"": true}",MAE,120,0.26699789692754966,0.32716546840627847,95.74187843575994,55.01182124960577,0.6599379372073199
Cambodia,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.44544607680840737,0.5912705656360531,87.77503334016833,69.43975331972939,0.7603272425801315
Cambodia,SARIMA,"{""order"": [0, 0, 1], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.41450055937110475,0.5614678042128878,73.28525035143939,66.74845473544626,0.7073774248001388
Cambodia,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12], ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""rolling_windows"": [3, 6, 12], ""subsample"": 0.9}",MAE,120,0.4098990758806467,0.5528946452631371,93.61196319632994,64.23221946082239,0.6995869168689177
Cambodia,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 1.0, ""yearly_seasonality"": true}",MAE,120,0.43155382974436046,0.5659957056364546,98.2271670819594,65.93903981378507,0.7362427430460718
Indonesia,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": false, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.24680793223893271,0.3073266715925697,62.240648589209776,52.605851956541414,0.8633139631375422
Indonesia,SARIMA,"{""order"": [1, 1, 2], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.2234098587677452,0.2725169367426593,72.7524979972763,46.44537454356371,0.7814518685442586
Indonesia,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 300, ""rolling_windows"": [3, 12], ""subsample"": 0.9}",MAE,120,0.2618407315870126,0.327475816066592,68.32662084905813,55.95122033679143,0.9159071073241669
Indonesia,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 1.0, ""yearly_seasonality"": true}",MAE,120,0.22270049388167054,0.27138143407372173,72.53315360404834,46.253844999159845,0.7789712552178576
Lao People's Democratic Republic,Holt-Winters,"{""damped_trend"": true, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.7055430814598904,0.9600538865404493,119.00562102172682,96.1225258364264,0.8961123313078521
Lao People's Democratic Republic,SARIMA,"{""order"": [0, 0, 1], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.6187015175910935,0.8810130445613593,93.30833373950296,83.50249775936854,0.7857302704645537
Lao People's Democratic Republic,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""rolling_windows"": [3, 6, 12], ""subsample"": 0.9}",MAE,120,0.6162705555240312,0.8686157966512792,119.85642169165762,77.36018263274761,0.7825890895446175
Lao People's Democratic Republic,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 10.0, ""yearly_seasonality"": true}",MAE,120,0.619905321171894,0.8766673684432549,110.0424532910473,78.98357802151736,0.7872057095539284
Malaysia,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.24056322482193793,0.29726341743428575,57.17042186893322,43.06480878315798,0.7020851778821959
Malaysia,SARIMA,"{""order"": [1, 1, 2], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.2232685930415592,0.2823458068925117,59.640798341373305,39.46469265960874,0.6518161447276354
Malaysia,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.02, ""max_depth"": 4, ""n_estimators"": 300, ""rolling_windows"": [3, 6, 12], ""subsample"": 0.9}",MAE,120,0.24237021646698315,0.29967416620313303,55.0503373137368,42.93915824271462,0.7092249385931868
Malaysia,Prophet,"{""changepoint_prior_scale"": 0.001, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 0.1, ""yearly_seasonality"": true}",MAE,120,0.220408526339403,0.2798095140193155,64.27548137008446,38.12686944192753,0.6437978510908322
Myanmar,Holt-Winters,"{""damped_trend"": true, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.42204884906713064,0.5418138663436219,87.55807115211363,64.4296604500035,0.7850005570623226
Myanmar,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.3398430375330336,0.4577453128213645,78.51498409745567,51.5847027024365,0.6309862624899302
Myanmar,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12], ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""rolling_windows"": [3, 12], ""subsample"": 0.9}",MAE,120,0.4029474927206834,0.513080256098736,79.55333261320874,61.99127817814926,0.7495735315817303
Myanmar,Prophet,"{""changepoint_prior_scale"": 0.1, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 0.1, ""yearly_seasonality"": true}",MAE,120,0.35078629811609324,0.4644753839787854,84.39002514620155,52.20374026363503,0.6512901926067471
Philippines,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.31187844734831777,0.38352829115765064,50.18987272880039,44.27488109585734,0.8197861099361554
Philippines,SARIMA,"{""order"": [0, 0, 1], ""seasonal_order"": [1, 0, 1, 12]}",MAE,120,0.23802382944549272,0.31464510007473695,50.802089996176115,31.85398426279575,0.6273486477044091
Philippines,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 500, ""rolling_windows"": [3, 6, 12], ""subsample"": 0.9}",MAE,120,0.24873920818368592,0.3177510308720289,50.4160467157428,33.44963599756412,0.6552234624725508
Philippines,Prophet,"{""changepoint_prior_scale"": 0.001, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 1.0, ""yearly_seasonality"": true}",MAE,120,0.24125902289883838,0.31280199193088054,53.64383366199357,32.02181207820999,0.6354360175574418
Singapore,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": false, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,105,0.5877484485279383,0.7310279923506761,98.42608951267695,104.2571452496837,1.3332889317455283
Singapore,SARIMA,"{""order"": [2, 1, 2], ""seasonal_order"": [1, 1, 2, 12]}",MAE,105,0.4666335323720382,0.6085216132323641,117.31212776263382,74.06276768903189,1.0822515787852525
Singapore,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""rolling_windows"": [3, 12], ""subsample"": 0.9}",MAE,105,0.5452659113872619,0.6941614463823575,108.1646204446732,91.10964339688415,1.246264620473262
Singapore,Prophet,"{""changepoint_prior_scale"": 0.05, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 10.0, ""yearly_seasonality"": true}",MAE,105,0.471199371336967,0.6078548512569014,122.34907941491255,73.84345015415961,1.094959373962716
Thailand,Holt-Winters,"{""damped_trend"": false, ""remove_bias"": true, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.5559452115375418,0.7504946779352349,106.7593727305947,83.86514768204285,0.8660212715769513
Thailand,SARIMA,"{""order"": [2, 1, 1], ""seasonal_order"": [2, 1, 1, 12]}",MAE,120,0.47088850439495133,0.651945484629162,104.10905758588346,67.60453854154468,0.7327595167279018
Thailand,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12], ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""rolling_windows"": [3, 12], ""subsample"": 0.9}",MAE,120,0.47470443966488046,0.6681781518585931,97.65077568074243,67.94658118656456,0.7387579880378157
Thailand,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 1.0, ""yearly_seasonality"": true}",MAE,120,0.495200379865913,0.6742438508859175,110.9108790737257,69.64538086572128,0.7705324791856378
Viet Nam,Holt-Winters,"{""damped_trend"": true, ""remove_bias"": false, ""seasonal"": ""add"", ""seasonal_periods"": 12, ""trend"": ""add""}",MAE,120,0.6538026187065452,0.8732619159130132,119.68740139592535,93.06852293916656,0.8833393991445673
Viet Nam,SARIMA,"{""order"": [0, 0, 1], ""seasonal_order"": [1, 1, 1, 12]}",MAE,120,0.6035335260135003,0.8371829803372473,97.5846153310794,88.16253679692241,0.8153760698825616
Viet Nam,XGBoost,"{""colsample_bytree"": 0.9, ""lag_set"": [1, 2, 3, 6, 12, 24], ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""rolling_windows"": [3, 12], ""subsample"": 0.9}",MAE,120,0.6306813343862693,0.8539260521374673,123.88497763004335,85.78958871460713,0.8521159301207437
Viet Nam,Prophet,"{""changepoint_prior_scale"": 0.01, ""seasonality_mode"": ""additive"", ""seasonality_prior_scale"": 10.0, ""yearly_seasonality"": true}",MAE,120,0.6022835644719656,0.8333960936501095,109.7630596261926,84.10650108015832,0.8137425799391484
