Country,Model,Date,Actual_Modeling_Value,Forecast,ActualObservedInSource,UsedInMetrics,Error,Absolute_Error
Brunei Darussalam,Holt-Winters,2014-01-01,-0.056,0.903623319665272,True,True,-0.959623319665272,0.959623319665272
Brunei Darussalam,Holt-Winters,2014-02-01,0.376,0.8314858856643924,True,True,-0.4554858856643924,0.4554858856643924
Brunei Darussalam,Holt-Winters,2014-03-01,0.649,0.8949948056137916,True,True,-0.2459948056137916,0.2459948056137916
Brunei Darussalam,Holt-Winters,2014-04-01,0.712,0.863094713993262,True,True,-0.15109471399326202,0.15109471399326202
Brunei Darussalam,Holt-Winters,2014-05-01,0.617,0.7498807061938704,True,True,-0.13288070619387038,0.13288070619387038
Brunei Darussalam,Holt-Winters,2014-06-01,1.258,0.9764810195043605,True,True,0.2815189804956395,0.2815189804956395
Brunei Darussalam,Holt-Winters,2014-07-01,1.039,0.975594254602032,True,True,0.06340574539796795,0.06340574539796795
Brunei Darussalam,Holt-Winters,2014-08-01,0.185,0.919619010998451,True,True,-0.734619010998451,0.734619010998451
Brunei Darussalam,Holt-Winters,2014-09-01,0.823,0.8550692450282648,True,True,-0.0320692450282648,0.0320692450282648
Brunei Darussalam,Holt-Winters,2014-10-01,0.771,0.8603166481221126,True,True,-0.0893166481221126,0.0893166481221126
Brunei Darussalam,Holt-Winters,2014-11-01,0.916,0.8773324033253788,True,True,0.038667596674621274,0.038667596674621274
Brunei Darussalam,Holt-Winters,2014-12-01,0.904,0.971029464417909,True,True,-0.06702946441790902,0.06702946441790902
Brunei Darussalam,Holt-Winters,2015-01-01,0.39,0.9196799106552559,True,True,-0.5296799106552559,0.5296799106552559
Brunei Darussalam,Holt-Winters,2015-02-01,0.504,0.8475424766543763,True,True,-0.3435424766543763,0.3435424766543763
Brunei Darussalam,Holt-Winters,2015-03-01,0.537,0.9110513966037755,True,True,-0.3740513966037755,0.3740513966037755
Brunei Darussalam,Holt-Winters,2015-04-01,0.888,0.8791513049832459,True,True,0.008848695016754116,0.008848695016754116
Brunei Darussalam,Holt-Winters,2015-05-01,0.612,0.7659372971838543,True,True,-0.1539372971838543,0.1539372971838543
Brunei Darussalam,Holt-Winters,2015-06-01,1.186,0.9925376104943444,True,True,0.19346238950565553,0.19346238950565553
Brunei Darussalam,Holt-Winters,2015-07-01,1.545,0.9916508455920158,True,True,0.5533491544079842,0.5533491544079842
Brunei Darussalam,Holt-Winters,2015-08-01,0.821,0.9356756019884349,True,True,-0.11467560198843496,0.11467560198843496
Brunei Darussalam,Holt-Winters,2015-09-01,1.179,0.8711258360182487,True,True,0.3078741639817514,0.3078741639817514
Brunei Darussalam,Holt-Winters,2015-10-01,1.452,0.8763732391120964,True,True,0.5756267608879035,0.5756267608879035
Brunei Darussalam,Holt-Winters,2015-11-01,1.167,0.8933889943153627,True,True,0.27361100568463737,0.27361100568463737
Brunei Darussalam,Holt-Winters,2015-12-01,1.656,0.987086055407893,True,True,0.668913944592107,0.668913944592107
